"","sample","phenSumTIC","sapSumTIC","species_code","logPhen","logSap","phenTICpct","sapTICpct","percent_extracted","percent_tyrosine","tyr.final.pct","phensap.final.pct","phen.final.pct","sap.final.pct"
"284","N20_2141",47547993.526813,3916067.264516,"N20",17.6772501489426,15.1805984593277,0.923906757370071,0.0760932426299287,52.24,0,0,1,0.923906757370071,0.0760932426299287
"285","N21_1632",10088615.838242,32215.981812,"N21",16.1269182013776,10.3802179379669,0.996816864227685,0.00318313577231522,43.01428571,0.0983666666666667,0.186120897057089,0.813879102942911,0.811288415255994,0.0025906876869174
"286","N21_1726_2",14343440.659178,36200.9823,"N21",16.4788032987479,10.4968415328048,0.997482483694477,0.00251751630552311,43.01428571,0.0983666666666667,0.186120897057089,0.813879102942911,0.811830149030528,0.0020489539123833
"287","N21_1727_2",20737860.353465,74353.17868,"N21",16.8474715902299,11.2165817038998,0.996427425724556,0.00357257427544454,43.01428571,0.0983666666666667,0.186120897057089,0.813879102942911,0.810971459396416,0.00290764354649573
"288","N21_1851",11579221.750006,30025.905472,"N21",16.2647228214609,10.3098158037624,0.99741362176404,0.00258637823596018,43.01428571,0.0983666666666667,0.186120897057089,0.813879102942911,0.811774103744357,0.00210499919855434
"289","N21_1873",23921261.624989,127380.958436,"N21",16.9902782291754,11.7549375481238,0.994703195492464,0.00529680450753568,43.01428571,0.0983666666666667,0.186120897057089,0.813879102942911,0.809568144441854,0.00431095850105711
"290","N22_1797",2114255.769987,14304616.183673,"N22",14.5642134267347,16.4760928531852,0.128769855563415,0.871230144436585,38.74,0,0,1,0.128769855563415,0.871230144436585
"291","N22_1801",2993396.420376,17644107.990446,"N22",14.9119192272376,16.6859124607077,0.145046433948007,0.854953566051993,38.74,0,0,1,0.145046433948007,0.854953566051993
"292","N22_1802",3398385.442693,19601571.606932,"N22",15.0388110070038,16.7911203050133,0.147756164733725,0.852243835266275,38.74,0,0,1,0.147756164733725,0.852243835266275
"293","N22_1822",9144405.515059,32605544.643248,"N22",16.0286528311396,17.299992912956,0.219027938485803,0.780972061514197,38.74,0,0,1,0.219027938485803,0.780972061514197
"294","N22_1869",10512554.202176,19383180.061032,"N22",16.168080739224,16.7799162408022,0.351640608978571,0.648359391021429,38.74,0,0,1,0.351640608978571,0.648359391021429
"295","N23_1804",13886385.869328,8260.289916,"N23",16.4464194842809,9.01921496468842,0.999405505557944,0.000594494442055618,43,0,0,1,0.999405505557944,0.000594494442055618
"296","N23_1805",15555577.393205,18206.351563,"N23",16.5599298070853,9.80952579916112,0.998830961578678,0.0011690384213224,43,0,0,1,0.998830961578678,0.0011690384213224
"297","N23_1819",50906389.212058,137190.3322,"N23",17.745498998438,11.8291245267766,0.997312290136685,0.00268770986331488,43,0,0,1,0.997312290136685,0.00268770986331488
"298","N23_1856",40171122.686428,88245.05034,"N23",17.508658954325,11.3878728864238,0.997808086532382,0.00219191346761782,43,0,0,1,0.997808086532382,0.00219191346761782
"299","N23_1864",37525211.392376,59852.006622,"N23",17.4405235688424,10.9996302379429,0.998407558715902,0.00159244128409786,43,0,0,1,0.998407558715902,0.00159244128409786
"300","N24_1331",10925927.529812,58925.760436,"N24",16.2066491950961,10.9840336328717,0.99463572622419,0.00536427377581022,40.9,0,0,1,0.99463572622419,0.00536427377581022
"301","N24_1344",15556217.108736,43895.503753,"N24",16.5599709307518,10.6895671736129,0.997186205968933,0.00281379403106735,40.9,0,0,1,0.997186205968933,0.00281379403106735
"302","N24_1354",11465481.775432,52936.573639,"N24",16.2548514947983,10.8768497520961,0.995404180327999,0.00459581967200119,40.9,0,0,1,0.995404180327999,0.00459581967200119
"303","N25_1269_2",40149265.013183,71428.78186,"N25",17.5081146921666,11.1764561743847,0.998224078823106,0.00177592117689435,44.41666667,0.1482,0.25018288220977,0.74981711779023,0.748485501691949,0.00133161609828155
"304","N25_1271_2",38701548.88884,32582.621872,"N25",17.4713901801666,10.3915343538107,0.999158813671529,0.000841186328470775,44.41666667,0.1482,0.25018288220977,0.74981711779023,0.749186381881892,0.000630735908338503
"305","N25_1288_2",36010994.747028,38033.505997,"N25",17.399334859432,10.5462227869702,0.99894495058979,0.00105504941021007,44.41666667,0.1482,0.25018288220977,0.74981711779023,0.74902602368234,0.000791094107889993
"306","N25_1289_2",26524874.038098,26900.412477,"N25",17.0935934936537,10.1998968991898,0.998986869501808,0.00101313049819228,44.41666667,0.1482,0.25018288220977,0.74981711779023,0.74905745520013,0.000759662590099912
"307","N25_1312_2",26005858.736204,18753.442398,"N25",17.0738324066093,9.83913260910714,0.999279395893806,0.000720604106193732,44.41666667,0.1482,0.25018288220977,0.74981711779023,0.749276796496256,0.000540321293973989
"308","N26_1338",4515794.496872,44039.405395,"N26",15.3230916976521,10.6928400892695,0.990341883862676,0.00965811613732357,37.51428571,0,0,1,0.990341883862676,0.00965811613732357
"309","N26_1339",4998034.142109,8562.239991,"N26",15.424555221508,9.05511711609483,0.998289808217492,0.00171019178250766,37.51428571,0,0,1,0.998289808217492,0.00171019178250766
"310","N26_1348",4408040.016845,38614.796448,"N26",15.2989407080053,10.56139080967,0.991315989644044,0.00868401035595645,37.51428571,0,0,1,0.991315989644044,0.00868401035595645
